Time;Voltage;Current;Power;
06:59:04 11/06/2024;5.06;0.484;2.449;
06:59:04 11/06/2024;5.06;0.448;2.266;
06:59:05 11/06/2024;5.06;0.445;2.251;
06:59:05 11/06/2024;5.06;0.442;2.236;
06:59:06 11/06/2024;5.06;0.483;2.443;
06:59:06 11/06/2024;5.07;0.404;2.048;
06:59:07 11/06/2024;5.07;0.397;2.012;
06:59:07 11/06/2024;5.07;0.446;2.261;
06:59:08 11/06/2024;5.05;0.512;2.585;
06:59:08 11/06/2024;5.05;0.513;2.590;
06:59:09 11/06/2024;5.05;0.514;2.595;
06:59:09 11/06/2024;5.05;0.512;2.585;
06:59:10 11/06/2024;5.05;0.514;2.595;
06:59:10 11/06/2024;5.05;0.513;2.590;
06:59:11 11/06/2024;5.05;0.514;2.595;
06:59:11 11/06/2024;5.05;0.517;2.610;
06:59:12 11/06/2024;5.05;0.513;2.590;
06:59:12 11/06/2024;5.04;0.641;3.230;
06:59:13 11/06/2024;5.05;0.521;2.631;
06:59:13 11/06/2024;5.05;0.515;2.600;
06:59:14 11/06/2024;5.05;0.525;2.651;
06:59:14 11/06/2024;5.05;0.514;2.595;
06:59:15 11/06/2024;5.05;0.513;2.590;
06:59:15 11/06/2024;5.05;0.546;2.757;
06:59:16 11/06/2024;5.04;0.605;3.049;
06:59:16 11/06/2024;5.05;0.513;2.590;
06:59:17 11/06/2024;5.05;0.513;2.590;
06:59:17 11/06/2024;5.05;0.515;2.600;
06:59:18 11/06/2024;5.05;0.515;2.600;
06:59:18 11/06/2024;5.05;0.511;2.580;
06:59:19 11/06/2024;5.04;0.616;3.104;
06:59:19 11/06/2024;5.05;0.519;2.620;
06:59:20 11/06/2024;5.05;0.516;2.605;
06:59:20 11/06/2024;5.05;0.514;2.595;
06:59:21 11/06/2024;5.05;0.512;2.585;
06:59:21 11/06/2024;5.05;0.513;2.590;
06:59:22 11/06/2024;5.05;0.514;2.595;
06:59:22 11/06/2024;5.05;0.513;2.590;
06:59:23 11/06/2024;5.05;0.511;2.580;
06:59:23 11/06/2024;5.05;0.515;2.600;
06:59:24 11/06/2024;5.05;0.513;2.590;
06:59:24 11/06/2024;5.05;0.512;2.585;
06:59:25 11/06/2024;5.05;0.514;2.595;
06:59:25 11/06/2024;5.05;0.514;2.595;
06:59:26 11/06/2024;5.05;0.513;2.590;
06:59:26 11/06/2024;5.05;0.514;2.595;
06:59:27 11/06/2024;5.05;0.512;2.585;
06:59:27 11/06/2024;5.05;0.516;2.605;
06:59:28 11/06/2024;5.05;0.517;2.610;
06:59:28 11/06/2024;5.05;0.512;2.585;
06:59:29 11/06/2024;5.05;0.598;3.019;
06:59:29 11/06/2024;5.05;0.555;2.802;
06:59:30 11/06/2024;5.05;0.512;2.585;
06:59:30 11/06/2024;5.05;0.515;2.600;
06:59:31 11/06/2024;5.05;0.516;2.605;
06:59:31 11/06/2024;5.05;0.516;2.605;
06:59:32 11/06/2024;5.05;0.517;2.610;
06:59:32 11/06/2024;5.05;0.513;2.590;
06:59:33 11/06/2024;5.05;0.514;2.595;
06:59:33 11/06/2024;5.05;0.515;2.600;
06:59:34 11/06/2024;5.05;0.515;2.600;
06:59:34 11/06/2024;5.05;0.513;2.590;
06:59:35 11/06/2024;5.05;0.512;2.585;
06:59:35 11/06/2024;5.04;0.584;2.943;
06:59:36 11/06/2024;5.05;0.531;2.681;
06:59:36 11/06/2024;5.05;0.516;2.605;
06:59:37 11/06/2024;5.05;0.514;2.595;
06:59:37 11/06/2024;5.05;0.515;2.600;
06:59:38 11/06/2024;5.05;0.518;2.615;
06:59:38 11/06/2024;5.05;0.515;2.600;
06:59:39 11/06/2024;5.05;0.515;2.600;
06:59:39 11/06/2024;5.05;0.514;2.595;
06:59:40 11/06/2024;5.05;0.512;2.585;
06:59:40 11/06/2024;5.05;0.512;2.585;
06:59:41 11/06/2024;5.05;0.516;2.605;
06:59:41 11/06/2024;5.05;0.513;2.590;
06:59:42 11/06/2024;5.05;0.513;2.590;
06:59:42 11/06/2024;5.04;0.602;3.034;
06:59:43 11/06/2024;5.05;0.514;2.595;
06:59:43 11/06/2024;5.05;0.512;2.585;
06:59:44 11/06/2024;5.05;0.514;2.595;
06:59:44 11/06/2024;5.05;0.512;2.585;
06:59:45 11/06/2024;5.05;0.515;2.600;
06:59:45 11/06/2024;5.05;0.513;2.590;
06:59:46 11/06/2024;5.05;0.514;2.595;
06:59:46 11/06/2024;5.05;0.516;2.605;
06:59:47 11/06/2024;5.05;0.513;2.590;
06:59:47 11/06/2024;5.05;0.515;2.600;
06:59:48 11/06/2024;5.05;0.514;2.595;
06:59:48 11/06/2024;5.05;0.515;2.600;
06:59:49 11/06/2024;5.05;0.514;2.595;
06:59:49 11/06/2024;5.05;0.513;2.590;
06:59:50 11/06/2024;5.05;0.521;2.631;
06:59:50 11/06/2024;5.05;0.514;2.595;
06:59:51 11/06/2024;5.05;0.516;2.605;
06:59:51 11/06/2024;5.05;0.514;2.595;
06:59:52 11/06/2024;5.05;0.514;2.595;
06:59:52 11/06/2024;5.05;0.524;2.646;
06:59:53 11/06/2024;5.05;0.513;2.590;
06:59:53 11/06/2024;5.05;0.514;2.595;
06:59:54 11/06/2024;5.05;0.514;2.595;
06:59:54 11/06/2024;5.05;0.512;2.585;
06:59:55 11/06/2024;5.05;0.513;2.590;
06:59:55 11/06/2024;5.05;0.514;2.595;
06:59:56 11/06/2024;5.05;0.563;2.843;
06:59:56 11/06/2024;5.05;0.514;2.595;
06:59:57 11/06/2024;5.05;0.514;2.595;
06:59:57 11/06/2024;5.05;0.516;2.605;
06:59:58 11/06/2024;5.05;0.513;2.590;
06:59:58 11/06/2024;5.05;0.515;2.600;
06:59:59 11/06/2024;5.05;0.552;2.787;
06:59:59 11/06/2024;5.04;0.587;2.958;
07:00:00 11/06/2024;5.05;0.514;2.595;
07:00:00 11/06/2024;5.05;0.512;2.585;
07:00:01 11/06/2024;5.05;0.514;2.595;
07:00:01 11/06/2024;5.05;0.511;2.580;
07:00:02 11/06/2024;5.05;0.516;2.605;
07:00:02 11/06/2024;5.04;0.626;3.155;
07:00:03 11/06/2024;5.05;0.512;2.585;
07:00:03 11/06/2024;5.05;0.516;2.605;
07:00:04 11/06/2024;5.05;0.515;2.600;
07:00:04 11/06/2024;5.05;0.515;2.600;
07:00:05 11/06/2024;5.05;0.518;2.615;
07:00:05 11/06/2024;5.05;0.514;2.595;
07:00:06 11/06/2024;5.05;0.512;2.585;
07:00:06 11/06/2024;5.05;0.514;2.595;
07:00:07 11/06/2024;5.05;0.514;2.595;
07:00:07 11/06/2024;5.05;0.516;2.605;
07:00:08 11/06/2024;5.05;0.513;2.590;
07:00:08 11/06/2024;5.05;0.514;2.595;
07:00:09 11/06/2024;5.05;0.514;2.595;
07:00:09 11/06/2024;5.05;0.514;2.595;
07:00:10 11/06/2024;5.05;0.515;2.600;
07:00:10 11/06/2024;5.05;0.515;2.600;
07:00:11 11/06/2024;5.05;0.515;2.600;
07:00:11 11/06/2024;5.05;0.511;2.580;
07:00:12 11/06/2024;5.05;0.513;2.590;
07:00:12 11/06/2024;5.05;0.574;2.898;
07:00:13 11/06/2024;5.05;0.516;2.605;
07:00:13 11/06/2024;5.05;0.515;2.600;
07:00:14 11/06/2024;5.05;0.512;2.585;
07:00:14 11/06/2024;5.05;0.515;2.600;
07:00:15 11/06/2024;5.05;0.514;2.595;
07:00:15 11/06/2024;5.05;0.570;2.878;
07:00:16 11/06/2024;5.03;0.718;3.611;
07:00:16 11/06/2024;5.05;0.588;2.969;
07:00:17 11/06/2024;5.05;0.577;2.913;
07:00:17 11/06/2024;5.05;0.572;2.888;
07:00:18 11/06/2024;5.05;0.563;2.843;
07:00:18 11/06/2024;5.05;0.513;2.590;
07:00:19 11/06/2024;5.05;0.514;2.595;
07:00:19 11/06/2024;5.05;0.513;2.590;
07:00:20 11/06/2024;5.05;0.514;2.595;
07:00:20 11/06/2024;5.05;0.517;2.610;
07:00:21 11/06/2024;5.05;0.519;2.620;
07:00:21 11/06/2024;5.05;0.510;2.575;
07:00:22 11/06/2024;5.05;0.512;2.585;
07:00:22 11/06/2024;5.05;0.517;2.610;
07:00:23 11/06/2024;5.05;0.515;2.600;
07:00:23 11/06/2024;5.05;0.514;2.595;
07:00:24 11/06/2024;5.05;0.510;2.575;
07:00:24 11/06/2024;5.05;0.516;2.605;
07:00:25 11/06/2024;5.05;0.512;2.585;
07:00:25 11/06/2024;5.05;0.513;2.590;
07:00:26 11/06/2024;5.05;0.530;2.676;
07:00:26 11/06/2024;5.05;0.527;2.661;
07:00:27 11/06/2024;5.05;0.512;2.585;
07:00:27 11/06/2024;5.05;0.516;2.605;
07:00:28 11/06/2024;5.05;0.512;2.585;
07:00:28 11/06/2024;5.05;0.511;2.580;
07:00:29 11/06/2024;5.05;0.511;2.580;
07:00:29 11/06/2024;5.05;0.516;2.605;
