Time;Voltage;Current;Power;
18:51:59 12/06/2024;5.06;0.395;1.998;
18:52:00 12/06/2024;5.06;0.402;2.034;
18:52:00 12/06/2024;5.05;0.505;2.550;
18:52:01 12/06/2024;5.05;0.507;2.560;
18:52:01 12/06/2024;5.05;0.499;2.519;
18:52:02 12/06/2024;5.05;0.506;2.555;
18:52:02 12/06/2024;5.05;0.506;2.555;
18:52:03 12/06/2024;5.05;0.505;2.550;
18:52:03 12/06/2024;5.05;0.506;2.555;
18:52:04 12/06/2024;5.04;0.590;2.973;
18:52:04 12/06/2024;5.05;0.507;2.560;
18:52:05 12/06/2024;5.04;0.561;2.827;
18:52:05 12/06/2024;5.05;0.522;2.636;
18:52:06 12/06/2024;5.05;0.507;2.560;
18:52:06 12/06/2024;5.05;0.549;2.772;
18:52:07 12/06/2024;5.05;0.504;2.545;
18:52:07 12/06/2024;5.05;0.508;2.565;
18:52:08 12/06/2024;5.05;0.506;2.555;
18:52:08 12/06/2024;5.05;0.511;2.580;
18:52:09 12/06/2024;5.05;0.499;2.519;
18:52:09 12/06/2024;5.05;0.533;2.691;
18:52:10 12/06/2024;5.05;0.506;2.555;
18:52:10 12/06/2024;5.05;0.503;2.540;
18:52:11 12/06/2024;5.04;0.588;2.963;
18:52:11 12/06/2024;5.05;0.523;2.641;
18:52:12 12/06/2024;5.05;0.503;2.540;
18:52:12 12/06/2024;5.05;0.507;2.560;
18:52:13 12/06/2024;5.05;0.510;2.575;
18:52:13 12/06/2024;5.05;0.496;2.504;
18:52:14 12/06/2024;5.05;0.503;2.540;
18:52:14 12/06/2024;5.05;0.545;2.752;
18:52:15 12/06/2024;5.05;0.507;2.560;
18:52:15 12/06/2024;5.05;0.503;2.540;
18:52:16 12/06/2024;5.05;0.510;2.575;
18:52:16 12/06/2024;5.05;0.502;2.535;
18:52:17 12/06/2024;5.04;0.560;2.822;
18:52:17 12/06/2024;5.05;0.515;2.600;
18:52:18 12/06/2024;5.05;0.499;2.519;
18:52:18 12/06/2024;5.05;0.502;2.535;
18:52:19 12/06/2024;5.05;0.534;2.696;
18:52:19 12/06/2024;5.05;0.509;2.570;
18:52:20 12/06/2024;5.05;0.506;2.555;
18:52:20 12/06/2024;5.05;0.509;2.570;
18:52:21 12/06/2024;5.05;0.500;2.525;
18:52:21 12/06/2024;5.04;0.586;2.953;
18:52:22 12/06/2024;5.05;0.505;2.550;
18:52:22 12/06/2024;5.05;0.505;2.550;
18:52:23 12/06/2024;5.05;0.503;2.540;
18:52:23 12/06/2024;5.05;0.508;2.565;
18:52:24 12/06/2024;5.05;0.502;2.535;
18:52:24 12/06/2024;5.05;0.506;2.555;
18:52:25 12/06/2024;5.05;0.503;2.540;
18:52:25 12/06/2024;5.05;0.545;2.752;
18:52:26 12/06/2024;5.05;0.506;2.555;
18:52:26 12/06/2024;5.05;0.501;2.530;
18:52:27 12/06/2024;5.05;0.506;2.555;
18:52:27 12/06/2024;5.05;0.507;2.560;
18:52:28 12/06/2024;5.05;0.503;2.540;
18:52:28 12/06/2024;5.05;0.511;2.580;
18:52:29 12/06/2024;5.05;0.501;2.530;
18:52:29 12/06/2024;5.05;0.502;2.535;
18:52:30 12/06/2024;5.05;0.507;2.560;
18:52:30 12/06/2024;5.05;0.513;2.590;
18:52:31 12/06/2024;5.05;0.511;2.580;
18:52:31 12/06/2024;5.05;0.501;2.530;
18:52:32 12/06/2024;5.05;0.506;2.555;
18:52:32 12/06/2024;5.05;0.501;2.530;
18:52:33 12/06/2024;5.04;0.566;2.852;
18:52:33 12/06/2024;5.04;0.630;3.175;
18:52:34 12/06/2024;5.03;0.703;3.536;
18:52:34 12/06/2024;5.03;0.688;3.460;
18:52:35 12/06/2024;5.04;0.594;2.993;
18:52:35 12/06/2024;5.04;0.570;2.872;
18:52:36 12/06/2024;5.04;0.572;2.882;
18:52:36 12/06/2024;5.04;0.583;2.938;
18:52:37 12/06/2024;5.04;0.598;3.013;
18:52:37 12/06/2024;5.05;0.568;2.868;
